,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
368,0-203-0-11514,TMA,1786,21:00,GE(35),0.0,,,
372,0-203-0-11514,TMA,1786,21:00,L(0),52.0,,,
376,0-203-0-11514,TMA,1786,21:00,MAX,26.5,,,
380,0-203-0-11514,TMA,1786,21:00,MIN,-13.4,,,
384,0-203-0-11514,TMA,1787,21:00,AVG,13.1,,,
388,0-203-0-11514,TMA,1787,21:00,GE(25),32.0,,,
392,0-203-0-11514,TMA,1787,21:00,GE(30),7.0,,,
396,0-203-0-11514,TMA,1787,21:00,GE(34),0.0,,,
400,0-203-0-11514,TMA,1787,21:00,GE(35),0.0,,,
404,0-203-0-11514,TMA,1787,21:00,L(0),27.0,,,
408,0-203-0-11514,TMA,1787,21:00,MAX,32.2,,,
412,0-203-0-11514,TMA,1787,21:00,MIN,-7.1,,,
416,0-203-0-11514,TMA,1788,21:00,AVG,12.7,,,
420,0-203-0-11514,TMA,1788,21:00,GE(25),46.0,,,
424,0-203-0-11514,TMA,1788,21:00,GE(30),7.0,,,
428,0-203-0-11514,TMA,1788,21:00,GE(34),0.0,,,
432,0-203-0-11514,TMA,1788,21:00,GE(35),0.0,,,
436,0-203-0-11514,TMA,1788,21:00,L(0),41.0,,,
440,0-203-0-11514,TMA,1788,21:00,MAX,33.4,,,
444,0-203-0-11514,TMA,1788,21:00,MIN,-16.8,,,
448,0-203-0-11514,TMA,1789,21:00,AVG,13.3,,,
452,0-203-0-11514,TMA,1789,21:00,GE(25),47.0,,,
456,0-203-0-11514,TMA,1789,21:00,GE(30),3.0,,,
460,0-203-0-11514,TMA,1789,21:00,GE(34),0.0,,,
464,0-203-0-11514,TMA,1789,21:00,GE(35),0.0,,,
468,0-203-0-11514,TMA,1789,21:00,L(0),23.0,,,
472,0-203-0-11514,TMA,1789,21:00,MAX,31.7,,,
476,0-203-0-11514,TMA,1789,21:00,MIN,-20.0,,,
480,0-203-0-11514,TMA,1790,21:00,AVG,13.3,,,
484,0-203-0-11514,TMA,1790,21:00,GE(25),34.0,,,
488,0-203-0-11514,TMA,1790,21:00,GE(30),3.0,,,
492,0-203-0-11514,TMA,1790,21:00,GE(34),0.0,,,
496,0-203-0-11514,TMA,1790,21:00,GE(35),0.0,,,
500,0-203-0-11514,TMA,1790,21:00,L(0),6.0,,,
504,0-203-0-11514,TMA,1790,21:00,MAX,32.2,,,
508,0-203-0-11514,TMA,1790,21:00,MIN,-2.6,,,
512,0-203-0-11514,TMA,1791,21:00,AVG,14.1,,,
516,0-203-0-11514,TMA,1791,21:00,GE(25),44.0,,,
520,0-203-0-11514,TMA,1791,21:00,GE(30),12.0,,,
524,0-203-0-11514,TMA,1791,21:00,GE(34),0.0,,,
528,0-203-0-11514,TMA,1791,21:00,GE(35),0.0,,,
532,0-203-0-11514,TMA,1791,21:00,L(0),5.0,,,
536,0-203-0-11514,TMA,1791,21:00,MAX,33.0,*,,
540,0-203-0-11514,TMA,1791,21:00,MIN,-1.9,,,
544,0-203-0-11514,TMA,1792,21:00,AVG,13.7,,,
548,0-203-0-11514,TMA,1792,21:00,GE(25),42.0,,,
552,0-203-0-11514,TMA,1792,21:00,GE(30),7.0,,,
556,0-203-0-11514,TMA,1792,21:00,GE(34),0.0,,,
560,0-203-0-11514,TMA,1792,21:00,GE(35),0.0,,,
564,0-203-0-11514,TMA,1792,21:00,L(0),20.0,,,
568,0-203-0-11514,TMA,1792,21:00,MAX,33.3,,,
572,0-203-0-11514,TMA,1792,21:00,MIN,-10.0,,,
576,0-203-0-11514,TMA,1793,21:00,AVG,13.7,,,
580,0-203-0-11514,TMA,1793,21:00,GE(25),49.0,,,
584,0-203-0-11514,TMA,1793,21:00,GE(30),6.0,,,
588,0-203-0-11514,TMA,1793,21:00,GE(34),1.0,,,
592,0-203-0-11514,TMA,1793,21:00,GE(35),1.0,,,
596,0-203-0-11514,TMA,1793,21:00,L(0),16.0,,,
600,0-203-0-11514,TMA,1793,21:00,MAX,37.0,,,
604,0-203-0-11514,TMA,1793,21:00,MIN,-14.2,,,
608,0-203-0-11514,TMA,1794,21:00,AVG,14.6,,,
612,0-203-0-11514,TMA,1794,21:00,GE(25),48.0,,,
616,0-203-0-11514,TMA,1794,21:00,GE(30),6.0,,,
620,0-203-0-11514,TMA,1794,21:00,GE(34),0.0,,,
624,0-203-0-11514,TMA,1794,21:00,GE(35),0.0,,,
628,0-203-0-11514,TMA,1794,21:00,L(0),10.0,,,
632,0-203-0-11514,TMA,1794,21:00,MAX,32.5,,,
636,0-203-0-11514,TMA,1794,21:00,MIN,-5.8,,,
640,0-203-0-11514,TMA,1795,21:00,AVG,13.4,,,
644,0-203-0-11514,TMA,1795,21:00,GE(25),31.0,,,
648,0-203-0-11514,TMA,1795,21:00,GE(30),3.0,,,
652,0-203-0-11514,TMA,1795,21:00,GE(34),0.0,,,
656,0-203-0-11514,TMA,1795,21:00,GE(35),0.0,,,
