,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
372,0-203-0-11514,TMI,1790,21:00,L(-12),0.0,,,
376,0-203-0-11514,TMI,1790,21:00,MAX,22.0,,,
380,0-203-0-11514,TMI,1790,21:00,MIN,-6.2,,,
384,0-203-0-11514,TMI,1791,21:00,AVG,8.0,,,
388,0-203-0-11514,TMI,1791,21:00,GE(20),10.0,,,
392,0-203-0-11514,TMI,1791,21:00,L(0),45.0,,,
396,0-203-0-11514,TMI,1791,21:00,L(-12),0.0,,,
400,0-203-0-11514,TMI,1791,21:00,MAX,22.5,*,,
404,0-203-0-11514,TMI,1791,21:00,MIN,-6.6,,,
408,0-203-0-11514,TMI,1792,21:00,AVG,7.0,,,
412,0-203-0-11514,TMI,1792,21:00,GE(20),4.0,,,
416,0-203-0-11514,TMI,1792,21:00,L(0),73.0,,,
420,0-203-0-11514,TMI,1792,21:00,L(-12),7.0,,,
424,0-203-0-11514,TMI,1792,21:00,MAX,21.9,,,
428,0-203-0-11514,TMI,1792,21:00,MIN,-17.6,,,
432,0-203-0-11514,TMI,1793,21:00,AVG,7.5,,,
436,0-203-0-11514,TMI,1793,21:00,GE(20),5.0,,,
440,0-203-0-11514,TMI,1793,21:00,L(0),43.0,,,
444,0-203-0-11514,TMI,1793,21:00,L(-12),6.0,,,
448,0-203-0-11514,TMI,1793,21:00,MAX,22.8,,,
452,0-203-0-11514,TMI,1793,21:00,MIN,-21.6,,,
456,0-203-0-11514,TMI,1794,21:00,AVG,8.5,,,
460,0-203-0-11514,TMI,1794,21:00,GE(20),5.0,,,
464,0-203-0-11514,TMI,1794,21:00,L(0),37.0,,,
468,0-203-0-11514,TMI,1794,21:00,L(-12),0.0,,,
472,0-203-0-11514,TMI,1794,21:00,MAX,22.0,,,
476,0-203-0-11514,TMI,1794,21:00,MIN,-9.9,,,
480,0-203-0-11514,TMI,1795,21:00,AVG,6.7,,,
484,0-203-0-11514,TMI,1795,21:00,GE(20),0.0,,,
488,0-203-0-11514,TMI,1795,21:00,L(0),70.0,,,
492,0-203-0-11514,TMI,1795,21:00,L(-12),15.0,,,
496,0-203-0-11514,TMI,1795,21:00,MAX,19.6,,,
500,0-203-0-11514,TMI,1795,21:00,MIN,-22.6,,,
504,0-203-0-11514,TMI,1796,21:00,AVG,6.9,,,
508,0-203-0-11514,TMI,1796,21:00,GE(20),0.0,,,
512,0-203-0-11514,TMI,1796,21:00,L(0),69.0,,,
516,0-203-0-11514,TMI,1796,21:00,L(-12),3.0,,,
520,0-203-0-11514,TMI,1796,21:00,MAX,19.4,,,
524,0-203-0-11514,TMI,1796,21:00,MIN,-15.7,,,
528,0-203-0-11514,TMI,1797,21:00,AVG,7.8,,,
532,0-203-0-11514,TMI,1797,21:00,GE(20),2.0,,,
536,0-203-0-11514,TMI,1797,21:00,L(0),60.0,,,
540,0-203-0-11514,TMI,1797,21:00,L(-12),0.0,,,
544,0-203-0-11514,TMI,1797,21:00,MAX,21.3,,,
548,0-203-0-11514,TMI,1797,21:00,MIN,-6.4,*,,
552,0-203-0-11514,TMI,1798,21:00,AVG,7.3,,,
556,0-203-0-11514,TMI,1798,21:00,GE(20),20.0,,,
560,0-203-0-11514,TMI,1798,21:00,L(0),76.0,,,
564,0-203-0-11514,TMI,1798,21:00,L(-12),8.0,,,
568,0-203-0-11514,TMI,1798,21:00,MAX,22.9,,,
572,0-203-0-11514,TMI,1798,21:00,MIN,-22.1,,,
576,0-203-0-11514,TMI,1799,21:00,AVG,4.4,,,
580,0-203-0-11514,TMI,1799,21:00,GE(20),1.0,,,
584,0-203-0-11514,TMI,1799,21:00,L(0),103.0,,,
588,0-203-0-11514,TMI,1799,21:00,L(-12),31.0,,,
592,0-203-0-11514,TMI,1799,21:00,MAX,20.2,,,
596,0-203-0-11514,TMI,1799,21:00,MIN,-24.8,,,
